id,course_id,day_number,start_time,end_time,module_title,submodule_title,duration_minutes,created_at
f88fc14b-8426-47f5-94c7-2c95a602abc5,7a7c6223-b204-4ed5-800a-5caf40384c4e,1,9:00,11:00," Cardio Pulmonary Resuscitation  
","['Video presentation', 'Slide Presentation']",,28:53.6
320c5ed8-97a5-46b1-9adb-b8bd32e19840,7a7c6223-b204-4ed5-800a-5caf40384c4e,1,9:00,11:00,Tea Break,[],,28:53.6
3ec2b799-f210-4de5-8b89-6fc8659d6e9c,7a7c6223-b204-4ed5-800a-5caf40384c4e,1,11:00,14:00,"One/two-man rescuer Adult 
One/two-man infant CPR 
Foreign body airway obstruction (Adult) 
Foreign Airway obstruction(infant)

Rescue Breathing using Pocket Mask 
Practical/Hands on training
",[],,28:53.6
4edde82d-0f96-49e2-873d-3eb3bb366571,7a7c6223-b204-4ed5-800a-5caf40384c4e,1,11:00,14:00,Lunch break ,[],,28:53.6
853002dd-869c-4796-8436-bf733a1a88a6,7a7c6223-b204-4ed5-800a-5caf40384c4e,1,14:00,16:00,"To continue from morning session (CPR) 
","['AED', 'Slide presentation', 'Video', 'Demonstration', 'Hands on practice']",,28:53.6
ead02204-99c9-455d-ae53-dcf210942f3a,7a7c6223-b204-4ed5-800a-5caf40384c4e,2,9:00,11:00,"
Scope of First Aid 
What is first aid 
Qualities of a First Aider 
Primary Survey –ABC 
Secondary Survey – Head to Toe Examination 
Diagnostic signs of a victim 
Flow chart for a good First Aider 

Human Anatomy 
Skeletal structure 
Vital body organs 

Circulation System 
Components of the system 
Mechanism of respiration
",[],,28:53.6
5a49c61d-dfb5-48f2-a623-21bf83766e2c,7a7c6223-b204-4ed5-800a-5caf40384c4e,2,9:00,11:00, Tea Break ,[],,28:53.6
e38e7aea-5ef2-44ca-a820-aa66588615ef,7a7c6223-b204-4ed5-800a-5caf40384c4e,2,11:00,14:00,"Wounds / Bleeding
Types 
Causes 
Management 
Bleeding from special regions-ear / nose / etc. 

Dressing & Bandages 
Types 
Usage 
How to do a simple dressing\

Fractures / Dislocation 
Types 
Causes 
Signs & Symptoms 
Management
",[],,28:53.6
b8e470df-1add-4a24-a8ae-0f0d4ee751a7,7a7c6223-b204-4ed5-800a-5caf40384c4e,2,11:00,14:00,Lunch break,[],,28:53.6
4e529a1f-031a-4837-b666-df7c46bea45f,7a7c6223-b204-4ed5-800a-5caf40384c4e,2,14:00,16:00,"Snake Bite Management
",[],,28:53.6
1794ead0-e86c-4a99-bcfe-7eb5076e05a9,7a7c6223-b204-4ed5-800a-5caf40384c4e,2,14:00,16:00,"Sports injuries  
Injuries to joint - sprain / strain 
Common sporting injuries
",[],,28:53.6
04b13f6c-580b-411e-b779-bf1d130d079e,7a7c6223-b204-4ed5-800a-5caf40384c4e,2,14:00,16:00,"Burns/Scalds/Electrocution 
Degree/percentage of burns 
Causes
Signs & symptoms
Management 

Poisoning and first aid management
",[],,28:53.6
c27a8a13-61e4-472c-a00a-e1962a68942a,7a7c6223-b204-4ed5-800a-5caf40384c4e,2,14:00,16:00,Tea Break ,[],,28:53.6
2631d957-2ec4-4061-8a81-d4b8da9f4992,7a7c6223-b204-4ed5-800a-5caf40384c4e,2,14:00,16:00,"Medico-legal implications
Transportation of Patient 
Principle of “stay and play” and “scoop and run” 
Methods of transporting patients 

First Responder Management (Practical) (group presentation) classroom And public area) 

CPR Practical assessment(participants)
",[],,28:53.6
181a1ade-c75d-4129-8942-663db38dc915,7a7c6223-b204-4ed5-800a-5caf40384c4e,2,14:00,16:00, MCQ (Multiple Choice Questions) from 1st day,[],,28:53.6
c25fa642-45a5-4fe0-9163-fcdbd32a9553,bbc7f2f1-b691-47ad-bc1f-94d05b93b64b,1,9:00,11:00,Module 1: Understanding E-Invoicing,['#NAME?'],,28:53.6
c7439c48-3f6e-453b-a8ec-3c611d569ef3,bbc7f2f1-b691-47ad-bc1f-94d05b93b64b,1,9:00,11:00, Module 2: Planning for E-Invoicing Rollout,['#NAME?'],,28:53.6
42122689-98e2-4b47-85ad-f9e87b71e7d9,bbc7f2f1-b691-47ad-bc1f-94d05b93b64b,1,9:00,11:00,MORNING TEA BREAK,[],,28:53.6
06025deb-3ff0-4585-be31-3bc07fd831a4,bbc7f2f1-b691-47ad-bc1f-94d05b93b64b,1,11:00,14:00,Module 3: Background and Benefits of E-Invoicing,['#NAME?'],,28:53.6
dcc78b2c-acc2-4934-9f91-8a2bd530db51,bbc7f2f1-b691-47ad-bc1f-94d05b93b64b,1,11:00,14:00,Module 4: Transactions Affected by E-Invoicing Implementation,[],,28:53.6
384c8260-3239-4af2-9dd0-904d16ffc29a,bbc7f2f1-b691-47ad-bc1f-94d05b93b64b,1,11:00,14:00,Module 5: Scenario Analysis and E-Invoice Types,[],,28:53.6
5564a0e9-a0ed-4752-8826-616faa2ebddf,bbc7f2f1-b691-47ad-bc1f-94d05b93b64b,1,11:00,14:00,LUNCH BREAK,[],,28:53.6
8eae6324-e4fc-425b-ad46-0b4772b547d9,bbc7f2f1-b691-47ad-bc1f-94d05b93b64b,1,14:00,16:00,Module 6: Timeline and Threshold Considerations,[],,28:53.6
9f77d039-3ff4-493a-8ef2-569a769cbde3,bbc7f2f1-b691-47ad-bc1f-94d05b93b64b,1,14:00,16:00,Module 7: Lifecycle of E-Invoicing,['#NAME?'],,28:53.6
8f505c12-0283-4b6d-b637-ae2717329dcf,bbc7f2f1-b691-47ad-bc1f-94d05b93b64b,1,14:00,16:00,AFTERNOON TEA BREAK,[],,28:53.6
